2.000,6.300,2.800,5.100,1.500
1.000,6.300,3.300,4.700,1.600
0.000,5.000,3.400,1.500,0.200
1.000,5.800,2.700,4.100,1.000
2.000,7.300,2.900,6.300,1.800
1.000,4.900,2.400,3.300,1.000
1.000,5.700,2.800,4.500,1.300
0.000,5.700,3.800,1.700,0.300
1.000,5.600,3.000,4.500,1.500
1.000,5.500,2.300,4.000,1.300
0.000,4.400,3.200,1.300,0.200
0.000,5.800,4.000,1.200,0.200
0.000,5.100,3.300,1.700,0.500
0.000,5.100,3.400,1.500,0.200
0.000,5.400,3.700,1.500,0.200
2.000,6.400,2.800,5.600,2.200
2.000,6.000,3.000,4.800,1.800
1.000,5.600,2.500,3.900,1.100
2.000,7.700,2.800,6.700,2.000
1.000,5.700,2.800,4.100,1.300
2.000,6.500,3.000,5.200,2.000
1.000,5.600,3.000,4.100,1.300
0.000,4.700,3.200,1.300,0.200
2.000,6.500,3.000,5.500,1.800
0.000,4.600,3.600,1.000,0.200
2.000,6.500,3.000,5.800,2.200
2.000,6.700,3.100,5.600,2.400
0.000,5.000,3.200,1.200,0.200
0.000,5.400,3.400,1.700,0.200
2.000,6.200,3.400,5.400,2.300
2.000,6.400,2.700,5.300,1.900
2.000,6.900,3.100,5.100,2.300
0.000,5.100,3.700,1.500,0.400
1.000,5.400,3.000,4.500,1.500
0.000,5.200,3.400,1.400,0.200
0.000,4.500,2.300,1.300,0.300
2.000,6.700,3.000,5.200,2.300
1.000,5.700,2.900,4.200,1.300
1.000,6.700,3.000,5.000,1.700
1.000,6.000,3.400,4.500,1.600
1.000,6.100,2.900,4.700,1.400
1.000,5.000,2.300,3.300,1.000
0.000,4.400,3.000,1.300,0.200
0.000,4.900,3.000,1.400,0.200
2.000,6.100,2.600,5.600,1.400
1.000,6.000,2.900,4.500,1.500
2.000,6.700,2.500,5.800,1.800
2.000,4.900,2.500,4.500,1.700
1.000,6.400,3.200,4.500,1.500
2.000,6.100,3.000,4.900,1.800
